units_sold_360,units_sold,partType,vehicleMaxQty,isDevelopment,make,category,subCat,year,TotalVIO,HasPartsAuthorityPurchased,HasWorldPacPurchased,HasSSFPurchased,sale_year_rank
185,254,Engine Coolant Reservoir Hose,1,True,Volkswagen,Cooling,"Hoses, Pipes, Tubes",2018,145519,True,False,False,2
54,18,Radiator Coolant Hose,1,False,Porsche,Cooling,"Hoses, Pipes, Tubes",2016,68438,False,True,True,9
116,126,Universal Joint,3,False,Volvo,Steering,Steering,2019,111580,False,True,False,20
258,121,Engine Coolant Reservoir,1,False,Mercedes-Benz,Cooling,Expansion Tanks & Parts,2018,114273,True,True,False,0
4,11,Window Regulator,1,False,Volkswagen,Body,Regulators,2016,157325,False,False,False,6
12,13,Engine Crankcase Vent Valve,1,False,BMW,Fuel,Emissions,2020,1504,False,False,True,2
129,1148,Suspension Stabilizer Bar Bushing,4,True,Porsche,Suspension,Mountings & Bushings,2016,5354,True,True,False,6
333,270,Radiator Coolant Hose,1,False,Volvo,Cooling,"Hoses, Pipes, Tubes",2020,52934,False,True,True,21
1418,1906,Engine Coolant Temperature Switch,1,False,Audi,Electrical,"Relays, Switches, Solenoids",2017,1427276,True,True,False,5
867,1537,Door Lock Knob,2,True,Porsche,Body,Doors & Windows,2017,13742,False,True,True,0
295,84,Engine Crankshaft Pulley,1,False,Mini,Engine,Pulleys & Tensioners,2018,433619,True,True,False,1
78,95,Windshield Seal,1,False,Volkswagen,Body,Gaskets & Seals,2021,23772,False,True,False,5
22,34,Engine Coolant Reservoir,1,False,Mercedes-Benz,Cooling,Expansion Tanks & Parts,2020,417367,False,True,False,0
163,239,Bumper Seal,1,True,Porsche,Body,Gaskets & Seals,2016,13330,False,True,True,0
49,162,Engine Coolant Thermostat Housing,1,False,Audi,Cooling,Flanges & Housings,2016,71839,True,True,False,6
1542,669,Vacuum Hose Connector,9,True,Porsche,Fuel,"Hoses, Pipes, Tubes",2019,111659,False,True,True,1
35,28,A/C Evaporator Temperature Sensor,1,False,Volkswagen,Climate Control,Sensors & Senders,2019,621118,False,True,False,8
618,635,Manual Transmission Mount,2,True,BMW,Transmission,Mountings & Bushings,2018,1380915,True,True,False,6
